Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,1.604167,1.708333,1.588542,1.677083,0.145320,837600
1962-01-08,1.677083,1.739583,1.666667,1.718750,0.148931,1413600
1962-01-15,1.718750,1.750000,1.677083,1.750000,0.151639,1224000
1962-01-22,1.750000,1.770833,1.666667,1.708333,0.148934,864000
1962-01-29,1.708333,1.750000,1.692708,1.729167,0.150750,744000
1962-02-05,1.729167,1.744792,1.692708,1.692708,0.147572,580800
1962-02-12,1.692708,1.703125,1.635417,1.677083,0.146210,511200
1962-02-19,1.677083,1.692708,1.625000,1.635417,0.142577,432000
1962-02-26,1.666667,1.708333,1.666667,1.687500,0.147118,595200
1962-03-05,1.687500,1.703125,1.635417,1.635417,0.142577,535200
1962-03-12,1.635417,1.661458,1.588542,1.661458,0.144847,573600
1962-03-19,1.661458,1.703125,1.645833,1.682292,0.146664,974400
1962-03-26,1.682292,1.703125,1.656250,1.703125,0.148480,561600
1962-04-02,1.697917,1.697917,1.661458,1.682292,0.146664,854400
1962-04-09,1.682292,1.692708,1.614583,1.614583,0.140761,624000
1962-04-16,1.609375,1.625000,1.552083,1.604167,0.139853,516000
1962-04-23,1.598958,1.598958,1.520833,1.541667,0.135277,705600
1962-04-30,1.541667,1.583333,1.427083,1.552083,0.136191,710400
1962-05-07,1.552083,1.572917,1.453125,1.473958,0.129336,566400
1962-05-14,1.473958,1.552083,1.447917,1.536458,0.134820,748800
1962-05-21,1.536458,1.536458,1.427083,1.442708,0.126593,998400
1962-05-28,1.442708,1.453125,1.291667,1.453125,0.127508,945600
1962-06-04,1.427083,1.489583,1.380208,1.453125,0.127508,763200
1962-06-11,1.447917,1.447917,1.338542,1.369792,0.120195,1430400
1962-06-18,1.380208,1.401042,1.286458,1.286458,0.112883,1092000
1962-06-25,1.281250,1.354167,1.229167,1.328125,0.116539,960000
1962-07-02,1.328125,1.395833,1.312500,1.375000,0.120652,448800
1962-07-09,1.369792,1.432292,1.333333,1.338542,0.117453,832800
1962-07-16,1.338542,1.369792,1.296875,1.328125,0.116539,933600
1962-07-23,1.328125,1.343750,1.229167,1.291667,0.114219,844800
1962-07-30,1.291667,1.333333,1.286458,1.333333,0.117904,590400
1962-08-06,1.333333,1.354167,1.302083,1.312500,0.116061,662400
1962-08-13,1.312500,1.416667,1.291667,1.406250,0.124351,1039200
1962-08-20,1.406250,1.479167,1.385417,1.458333,0.128957,861600
1962-08-27,1.458333,1.489583,1.437500,1.463542,0.129417,900000
1962-09-03,1.463542,1.494792,1.390625,1.432292,0.126654,1087200
1962-09-10,1.427083,1.458333,1.390625,1.406250,0.124351,636000
1962-09-17,1.406250,1.427083,1.390625,1.406250,0.124351,962400
1962-09-24,1.390625,1.390625,1.312500,1.312500,0.116061,900000
1962-10-01,1.302083,1.369792,1.302083,1.343750,0.118825,513600
1962-10-08,1.338542,1.354167,1.312500,1.317708,0.116522,835200
1962-10-15,1.317708,1.385417,1.291667,1.291667,0.114219,955200
1962-10-22,1.286458,1.307292,1.234375,1.270833,0.113238,928800
1962-10-29,1.338542,1.416667,1.296875,1.411458,0.125768,897600
1962-11-05,1.411458,1.463542,1.411458,1.453125,0.129481,604800
1962-11-12,1.453125,1.531250,1.442708,1.500000,0.133658,888000
1962-11-19,1.500000,1.526042,1.489583,1.500000,0.133658,559200
1962-11-26,1.500000,1.526042,1.484375,1.505208,0.134122,787200
1962-12-03,1.505208,1.578125,1.505208,1.572917,0.140155,693600
1962-12-10,1.572917,1.583333,1.479167,1.489583,0.132730,1377600
1962-12-17,1.489583,1.539063,1.473958,1.520833,0.135514,1219200
1962-12-24,1.520833,1.552083,1.520833,1.541667,0.137371,520800
1962-12-31,1.541667,1.598958,1.526042,1.593750,0.142012,427200
1963-01-07,1.593750,1.609375,1.578125,1.583333,0.141084,720000
1963-01-14,1.583333,1.619792,1.567708,1.583333,0.141084,626400
1963-01-21,1.583333,1.583333,1.546875,1.562500,0.140143,1008000
1963-01-28,1.562500,1.609375,1.557292,1.583333,0.142012,933600
1963-02-04,1.583333,1.583333,1.489583,1.515625,0.135939,640800
1963-02-11,1.515625,1.531250,1.484375,1.500000,0.134538,919200
1963-02-18,1.500000,1.520833,1.458333,1.463542,0.131268,914400
1963-02-25,1.458333,1.479167,1.442708,1.453125,0.130333,830400
1963-03-04,1.453125,1.505208,1.453125,1.479167,0.132669,806400
1963-03-11,1.479167,1.510417,1.479167,1.479167,0.132669,724800
1963-03-18,1.479167,1.494792,1.447917,1.468750,0.131735,525600
1963-03-25,1.468750,1.536458,1.458333,1.520833,0.136406,796800
1963-04-01,1.520833,1.578125,1.520833,1.557292,0.139676,540000
1963-04-08,1.557292,1.593750,1.526042,1.557292,0.139676,1509600
1963-04-15,1.557292,1.578125,1.531250,1.567708,0.140611,948000
1963-04-22,1.562500,1.567708,1.526042,1.552083,0.140336,1075200
1963-04-29,1.552083,1.583333,1.541667,1.562500,0.141277,883200
1963-05-06,1.562500,1.682292,1.552083,1.677083,0.151638,1984800
1963-05-13,1.677083,1.744792,1.677083,1.729167,0.156347,1012800
1963-05-20,1.729167,1.770833,1.708333,1.765625,0.159643,1310400
1963-05-27,1.760417,1.869792,1.744792,1.848958,0.167178,878400
1963-06-03,1.859375,1.953125,1.859375,1.875000,0.169533,1509600
1963-06-10,1.854167,1.854167,1.776042,1.833333,0.165765,1252800
1963-06-17,1.833333,1.843750,1.791667,1.822917,0.164824,885600
1963-06-24,1.822917,1.833333,1.776042,1.796875,0.162469,876000
1963-07-01,1.796875,1.869792,1.750000,1.869792,0.169062,1099200
1963-07-08,1.869792,1.921875,1.859375,1.901042,0.171887,900000
1963-07-15,1.901042,1.901042,1.812500,1.828125,0.165294,1188000
1963-07-22,1.822917,1.822917,1.744792,1.750000,0.159293,691200
1963-07-29,1.750000,1.822917,1.734375,1.812500,0.164982,566400
1963-08-05,1.812500,1.843750,1.802083,1.843750,0.167826,727200
1963-08-12,1.843750,1.875000,1.812500,1.864583,0.169723,664800
1963-08-19,1.864583,1.895833,1.854167,1.885417,0.171619,643200
1963-08-26,1.885417,1.895833,1.854167,1.869792,0.170197,943200
1963-09-02,1.869792,1.869792,1.833333,1.838542,0.167352,844800
1963-09-09,1.833333,1.848958,1.796875,1.838542,0.167352,520800
1963-09-16,1.838542,1.859375,1.765625,1.828125,0.166404,789600
1963-09-23,1.828125,1.828125,1.734375,1.776042,0.161663,700800
1963-09-30,1.776042,1.859375,1.760417,1.854167,0.168774,760800
1963-10-07,1.854167,1.869792,1.807292,1.869792,0.170197,717600
1963-10-14,1.848958,1.848958,1.802083,1.817708,0.165456,835200
1963-10-21,1.817708,1.854167,1.791667,1.854167,0.169936,1039200
1963-10-28,1.854167,1.989583,1.854167,1.947917,0.178529,1296000
1963-11-04,1.947917,1.953125,1.916667,1.932292,0.177097,1111200
1963-11-11,1.937500,1.984375,1.937500,1.963542,0.179961,799200
1963-11-18,1.963542,1.984375,1.833333,1.833333,0.168027,957600
1963-11-25,1.875000,1.963542,1.875000,1.963542,0.179961,441600
1963-12-02,1.963542,2.067708,1.958333,2.036458,0.186643,873600
1963-12-09,2.036458,2.046875,1.937500,1.963542,0.179961,729600
1963-12-16,1.963542,2.010417,1.958333,1.963542,0.179961,1036800
1963-12-23,1.963542,2.000000,1.963542,2.000000,0.183302,352800
1963-12-30,2.000000,2.041667,1.979167,2.031250,0.186166,364800
1964-01-06,2.031250,2.098958,2.031250,2.088542,0.191417,614400
1964-01-13,2.098958,2.166667,2.098958,2.130208,0.195236,1039200
1964-01-20,2.130208,2.192708,2.093750,2.156250,0.198772,564000
1964-01-27,2.156250,2.223958,2.156250,2.182292,0.201173,840000
1964-02-03,2.177083,2.177083,2.088542,2.114583,0.194931,1048800
1964-02-10,2.114583,2.140625,2.093750,2.125000,0.195891,612000
1964-02-17,2.125000,2.156250,2.104167,2.104167,0.193971,614400
1964-02-24,2.104167,2.286458,2.088542,2.260417,0.208375,1132800
1964-03-02,2.260417,2.468750,2.229167,2.437500,0.224699,777600
1964-03-09,2.437500,2.500000,2.375000,2.385417,0.219898,828000
1964-03-16,2.385417,2.494792,2.364583,2.479167,0.228540,729600
1964-03-23,2.484375,2.562500,2.458333,2.473958,0.228060,729600
1964-03-30,2.473958,2.645833,2.437500,2.640625,0.243424,1226400
1964-04-06,2.640625,2.645833,2.541667,2.572917,0.237182,616800
1964-04-13,2.572917,2.583333,2.515625,2.557292,0.235742,856800
1964-04-20,2.557292,2.593750,2.536458,2.541667,0.235832,717600
1964-04-27,2.531250,2.531250,2.458333,2.489583,0.231000,612000
1964-05-04,2.479167,2.494792,2.385417,2.458333,0.228100,825600
1964-05-11,2.458333,2.505208,2.447917,2.505208,0.232450,782400
1964-05-18,2.505208,2.630208,2.484375,2.609375,0.242115,1053600
1964-05-25,2.609375,2.630208,2.578125,2.578125,0.239215,751200
1964-06-01,2.578125,2.604167,2.567708,2.598958,0.241148,924000
1964-06-08,2.598958,2.666667,2.541667,2.656250,0.246464,844800
1964-06-15,2.656250,2.718750,2.656250,2.671875,0.247914,662400
1964-06-22,2.671875,2.744792,2.666667,2.718750,0.252264,530400
1964-06-29,2.718750,2.770833,2.713542,2.760417,0.256130,352800
1964-07-06,2.864583,2.937500,2.781250,2.885417,0.267728,934400
1964-07-13,2.875000,2.895833,2.822917,2.885417,0.267728,577600
1964-07-20,2.885417,2.906250,2.791667,2.791667,0.260551,480000
1964-07-27,2.802083,2.875000,2.718750,2.875000,0.268328,536000
1964-08-03,2.875000,2.885417,2.614583,2.729167,0.254718,842400
1964-08-10,2.729167,2.802083,2.697917,2.708333,0.252773,2458400
1964-08-17,2.708333,2.770833,2.708333,2.718750,0.253745,597600
1964-08-24,2.729167,2.822917,2.729167,2.781250,0.259579,676000
1964-08-31,2.802083,2.864583,2.802083,2.854167,0.266384,598400
1964-09-07,2.854167,3.031250,2.843750,3.020833,0.281939,1084000
1964-09-14,3.020833,3.145833,2.958333,3.062500,0.285828,830400
1964-09-21,3.083333,3.156250,2.937500,2.968750,0.277078,931200
1964-09-28,2.979167,3.052083,2.927083,3.010417,0.280967,619200
1964-10-05,3.041667,3.125000,3.041667,3.072917,0.286800,600800
1964-10-12,3.072917,3.114583,2.895833,3.052083,0.284856,564000
1964-10-19,3.052083,3.187500,3.010417,3.166667,0.297151,702400
1964-10-26,3.166667,3.229167,3.083333,3.145833,0.295196,696800
1964-11-02,3.145833,3.239583,3.135417,3.218750,0.302039,612800
1964-11-09,3.218750,3.312500,3.135417,3.270833,0.306926,592000
1964-11-16,3.270833,3.343750,3.208333,3.302083,0.309859,879200
1964-11-23,3.302083,3.625000,3.302083,3.583333,0.336250,688000
1964-11-30,3.572917,3.572917,3.364583,3.437500,0.322566,781600
1964-12-07,3.437500,3.447917,3.395833,3.437500,0.322566,610400
1964-12-14,3.427083,3.572917,3.208333,3.510417,0.329408,796800
1964-12-21,3.510417,3.583333,3.479167,3.500000,0.328431,468800
1964-12-28,3.489583,3.489583,3.385417,3.437500,0.322566,556800
1965-01-04,3.437500,3.479167,3.312500,3.447917,0.323543,704800
1965-01-11,3.447917,3.479167,3.354167,3.416667,0.320611,529600
1965-01-18,3.416667,3.458333,3.375000,3.416667,0.322614,1068000
1965-01-25,3.416667,3.458333,3.354167,3.385417,0.319664,722400
1965-02-01,3.385417,3.406250,3.343750,3.385417,0.319664,799200
1965-02-08,3.385417,3.520833,3.333333,3.479167,0.328516,851200
1965-02-15,3.510417,3.666667,3.510417,3.604167,0.340319,906400
1965-02-22,3.604167,3.697917,3.583333,3.687500,0.348187,971200
1965-03-01,3.687500,3.729167,3.541667,3.541667,0.334417,564000
1965-03-08,3.541667,3.656250,3.541667,3.604167,0.340319,728000
1965-03-15,3.604167,3.614583,3.270833,3.333333,0.314746,954400
1965-03-22,3.333333,3.364583,3.145833,3.218750,0.303926,1387200
1965-03-29,3.229167,3.520833,3.229167,3.437500,0.324582,1051200
1965-04-05,3.437500,3.447917,3.364583,3.385417,0.319664,644800
1965-04-12,3.385417,3.541667,3.333333,3.541667,0.334417,1740000
1965-04-19,3.541667,3.802083,3.510417,3.802083,0.361250,1155200
1965-04-26,3.812500,3.989583,3.760417,3.812500,0.362240,900800
1965-05-03,3.822917,3.906250,3.822917,3.906250,0.371147,506400
1965-05-10,3.906250,3.937500,3.812500,3.812500,0.362240,472800
1965-05-17,3.854167,3.979167,3.791667,3.885417,0.369168,636000
1965-05-24,3.885417,3.916667,3.656250,3.687500,0.350363,476800
1965-05-31,3.687500,3.739583,3.520833,3.531250,0.335517,692000
1965-06-07,3.531250,3.614583,3.500000,3.572917,0.339476,764000
1965-06-14,3.583333,3.770833,3.541667,3.687500,0.350363,853600
1965-06-21,3.687500,3.739583,3.395833,3.395833,0.322651,810400
1965-06-28,3.395833,3.614583,3.281250,3.593750,0.341455,1280000
1965-07-05,3.593750,3.593750,3.500000,3.552083,0.337497,446400
1965-07-12,3.572917,3.656250,3.447917,3.500000,0.334515,838400
1965-07-19,3.500000,3.531250,3.291667,3.291667,0.314604,804800
1965-07-26,3.281250,3.520833,3.218750,3.437500,0.328542,963200
1965-08-02,3.437500,3.489583,3.385417,3.416667,0.326551,516800
1965-08-09,3.416667,3.697917,3.385417,3.666667,0.350444,599200
1965-08-16,3.666667,3.708333,3.500000,3.614583,0.345467,604000
1965-08-23,3.614583,3.656250,3.572917,3.614583,0.345467,440800
1965-08-30,3.614583,3.656250,3.552083,3.583333,0.342480,584800
1965-09-06,3.583333,3.645833,3.562500,3.635417,0.347458,802400
