Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,0.000000,3.303571,3.177083,3.177083,0.369580,508800
1962-01-08,0.000000,3.296131,3.125000,3.281250,0.381697,614400
1962-01-15,0.000000,3.288691,3.191964,3.244048,0.377369,609600
1962-01-22,0.000000,3.273809,3.221726,3.251488,0.378235,576000
1962-01-29,0.000000,3.452381,3.191964,3.452381,0.401605,1409600
1962-02-05,0.000000,3.482143,3.333333,3.474702,0.407943,891200
1962-02-12,0.000000,3.549107,3.459821,3.541667,0.415805,780800
1962-02-19,0.000000,3.578869,3.497024,3.504464,0.411438,848000
1962-02-26,0.000000,3.519345,3.422619,3.497024,0.410564,900800
1962-03-05,0.000000,3.511905,3.437500,3.452381,0.405323,644800
1962-03-12,0.000000,3.519345,3.452381,3.519345,0.413185,577600
1962-03-19,0.000000,3.556548,3.459821,3.526786,0.414058,646400
1962-03-26,0.000000,3.519345,3.422619,3.504464,0.411438,374400
1962-04-02,0.000000,3.519345,3.407738,3.504464,0.411438,379200
1962-04-09,0.000000,3.526786,3.437500,3.467262,0.407070,452800
1962-04-16,0.000000,3.571429,3.444941,3.556548,0.417552,587200
1962-04-23,0.000000,3.578869,3.482143,3.511905,0.412311,705600
1962-04-30,0.000000,3.593750,3.467262,3.593750,0.421920,952000
1962-05-07,0.000000,3.593750,3.392857,3.437500,0.403576,1067200
1962-05-14,0.000000,3.526786,3.355655,3.489583,0.413112,859200
1962-05-21,0.000000,3.511905,3.266369,3.273809,0.387567,995200
1962-05-28,0.000000,3.377976,2.976191,3.288691,0.389329,1825600
1962-06-04,0.000000,3.318452,3.169643,3.199405,0.378759,665600
1962-06-11,0.000000,3.206845,3.020833,3.125000,0.369951,1284800
1962-06-18,0.000000,3.221726,3.065476,3.072917,0.363785,803200
1962-06-25,0.000000,3.206845,3.035714,3.184524,0.376997,913600
1962-07-02,0.000000,3.288691,3.184524,3.273809,0.387567,592000
1962-07-09,0.000000,3.363095,3.251488,3.333333,0.394614,614400
1962-07-16,0.000000,3.370536,3.169643,3.214286,0.380521,675200
1962-07-23,0.000000,3.229167,3.177083,3.214286,0.380521,395200
1962-07-30,0.000000,3.363095,3.206845,3.340774,0.395495,715200
1962-08-06,0.000000,3.377976,3.303571,3.363095,0.398137,556800
1962-08-13,0.000000,3.415179,3.333333,3.400298,0.406159,553600
1962-08-20,0.000000,3.459821,3.407738,3.452381,0.412381,561600
1962-08-27,0.000000,3.459821,3.377976,3.459821,0.413269,430400
1962-09-03,0.000000,3.534226,3.437500,3.511905,0.419491,366400
1962-09-10,0.000000,3.578869,3.497024,3.571429,0.426601,467200
1962-09-17,0.000000,3.608631,3.497024,3.497024,0.417713,772800
1962-09-24,0.000000,3.489583,3.281250,3.385417,0.404382,664000
1962-10-01,0.000000,3.422619,3.318452,3.407738,0.407048,523200
1962-10-08,0.000000,3.489583,3.392857,3.489583,0.416825,390400
1962-10-15,0.000000,3.563988,3.363095,3.377976,0.403493,587200
1962-10-22,0.000000,3.370536,3.065476,3.273809,0.391051,976000
1962-10-29,0.000000,3.452381,3.340774,3.452381,0.412381,556800
1962-11-05,0.000000,3.526786,3.377976,3.392857,0.405271,544000
1962-11-12,0.000000,3.489583,3.400298,3.467262,0.417683,531200
1962-11-19,0.000000,3.541667,3.452381,3.519345,0.423957,636800
1962-11-26,0.000000,3.779762,3.534226,3.764881,0.453535,1398400
1962-12-03,0.000000,3.906250,3.750000,3.869048,0.466084,1217600
1962-12-10,0.000000,3.898809,3.794643,3.839286,0.462499,966400
1962-12-17,0.000000,3.882813,3.773438,3.828125,0.461154,672000
1962-12-24,0.000000,3.906250,3.804688,3.906250,0.470566,468800
1962-12-31,0.000000,3.992188,3.875000,3.984375,0.479977,534400
1963-01-07,0.000000,4.046875,3.960938,3.992188,0.480918,676800
1963-01-14,0.000000,4.031250,3.968750,4.023438,0.484682,664000
1963-01-21,0.000000,4.031250,3.968750,4.031250,0.485624,601600
1963-01-28,0.000000,4.078125,4.031250,4.070313,0.490330,644800
1963-02-04,0.000000,4.101563,4.023438,4.062500,0.489388,660800
1963-02-11,0.000000,4.070313,3.992188,4.000000,0.485595,595200
1963-02-18,0.000000,4.031250,3.945313,4.000000,0.485595,345600
1963-02-25,0.000000,3.984375,3.828125,3.875000,0.470419,558400
1963-03-04,0.000000,4.046875,3.851563,4.039063,0.490337,472000
1963-03-11,0.000000,4.171875,4.007813,4.148438,0.503615,686400
1963-03-18,0.000000,4.203125,4.062500,4.187500,0.508357,499200
1963-03-25,0.000000,4.312500,4.171875,4.171875,0.506460,643200
1963-04-01,0.000000,4.289063,4.125000,4.273438,0.518789,648000
1963-04-08,0.000000,4.304688,4.210938,4.273438,0.518789,624000
1963-04-15,0.000000,4.281250,4.226563,4.265625,0.517841,596800
1963-04-22,0.000000,4.328125,4.210938,4.218750,0.512151,521600
1963-04-29,0.000000,4.265625,4.156250,4.203125,0.510254,564800
1963-05-06,0.000000,4.304688,4.062500,4.125000,0.500769,686400
1963-05-13,0.000000,4.109375,3.992188,4.007813,0.490187,500800
1963-05-20,0.000000,4.101563,3.937500,4.054688,0.495921,673600
1963-05-27,0.000000,4.046875,3.953125,3.984375,0.487321,681600
1963-06-03,0.000000,4.054688,3.968750,4.007813,0.490187,1176000
1963-06-10,0.000000,4.125000,3.976563,4.125000,0.504520,595200
1963-06-17,0.000000,4.125000,4.031250,4.062500,0.496876,580800
1963-06-24,0.000000,4.101563,4.039063,4.039063,0.494010,512000
1963-07-01,0.000000,4.140625,4.007813,4.140625,0.506431,465600
1963-07-08,0.000000,4.156250,4.070313,4.085938,0.499743,489600
1963-07-15,0.000000,4.101563,4.070313,4.078125,0.498787,353600
1963-07-22,0.000000,4.101563,4.031250,4.093750,0.500698,449600
1963-07-29,0.000000,4.187500,4.093750,4.171875,0.510253,752000
1963-08-05,0.000000,4.242188,4.140625,4.187500,0.512165,627200
1963-08-12,0.000000,4.195313,4.125000,4.132813,0.509227,539200
1963-08-19,0.000000,4.148438,4.093750,4.117188,0.507302,497600
1963-08-26,0.000000,4.148438,4.109375,4.140625,0.510190,696000
1963-09-02,0.000000,4.320313,4.125000,4.265625,0.525592,798400
1963-09-09,0.000000,4.265625,4.179688,4.234375,0.521741,633600
1963-09-16,0.000000,4.257813,4.140625,4.156250,0.512115,604800
1963-09-23,0.000000,4.179688,4.101563,4.109375,0.506339,505600
1963-09-30,0.000000,4.140625,4.007813,4.085938,0.503451,662400
1963-10-07,0.000000,4.117188,3.906250,3.984375,0.490937,705600
1963-10-14,0.000000,4.085938,3.984375,4.039063,0.497676,489600
1963-10-21,0.000000,4.039063,3.914063,4.039063,0.497676,536000
1963-10-28,0.000000,4.085938,3.976563,4.007813,0.493825,633600
1963-11-04,0.000000,4.031250,3.859375,3.906250,0.481311,720000
1963-11-11,0.000000,3.921875,3.765625,3.765625,0.467630,764800
1963-11-18,0.000000,3.789063,3.570313,3.570313,0.443375,1257600
1963-11-25,0.000000,3.757813,3.687500,3.750000,0.465690,894400
1963-12-02,0.000000,3.773438,3.703125,3.734375,0.463749,1067200
1963-12-09,0.000000,3.796875,3.695313,3.796875,0.471511,942400
1963-12-16,0.000000,3.812500,3.757813,3.765625,0.467630,969600
1963-12-23,0.000000,3.773438,3.710938,3.750000,0.465690,558400
1963-12-30,0.000000,3.828125,3.710938,3.812500,0.473451,872000
1964-01-06,0.000000,3.921875,3.812500,3.882813,0.482183,1201600
1964-01-13,0.000000,3.929688,3.859375,3.859375,0.479273,1156800
1964-01-20,0.000000,3.992188,3.835938,3.968750,0.492855,937600
1964-01-27,0.000000,4.109375,3.882813,3.953125,0.490914,1056000
