Date,Open,High,Low,Close,Adj Close,Volume
1975-11-01,0.000000,8.968750,8.375000,8.500000,2.381505,804000
1975-12-01,0.000000,8.250000,7.437500,7.718750,2.162616,1940000
1976-01-01,0.000000,8.312500,7.500000,8.000000,2.241417,2317200
1976-02-01,0.000000,8.375000,7.843750,7.843750,2.197639,2246000
1976-03-01,0.000000,8.781250,7.687500,8.312500,2.328974,1697600
1976-04-01,0.000000,8.718750,7.218750,7.218750,2.022529,1627200
1976-05-01,0.000000,7.500000,6.750000,6.750000,1.891196,1364800
1976-06-01,0.000000,7.000000,6.281250,6.812500,1.908707,1496000
1976-07-01,0.000000,8.312500,7.125000,8.187500,2.293951,2340400
1976-08-01,0.000000,8.875000,8.062500,8.062500,2.258928,1806800
1976-09-01,0.000000,8.937500,8.250000,8.375000,2.346483,1710800
1976-10-01,0.000000,9.500000,8.218750,9.375000,2.626660,1767200
1976-11-01,0.000000,9.437500,8.468750,8.468750,2.372750,999200
1976-12-01,0.000000,9.375000,8.593750,9.000000,2.521594,2909200
1977-01-01,0.000000,9.031250,8.281250,8.343750,2.337728,1302800
1977-02-01,0.000000,8.656250,7.281250,7.281250,2.040040,1199200
1977-03-01,0.000000,7.968750,7.375000,7.437500,2.083818,1434800
1977-04-01,0.000000,8.375000,7.312500,8.250000,2.311461,1866400
1977-05-01,0.000000,9.062500,8.375000,8.593750,2.407772,2228000
1977-06-01,0.000000,9.375000,8.656250,9.031250,2.530349,2026000
1977-07-01,0.000000,9.125000,8.468750,8.500000,2.381505,1708400
1977-08-01,0.000000,9.031250,8.125000,8.125000,2.276438,1726800
1977-09-01,0.000000,8.375000,7.343750,7.562500,2.118840,985200
1977-10-01,0.000000,8.125000,7.125000,7.406250,2.075061,1448800
1977-11-01,0.000000,8.312500,7.062500,7.875000,2.206394,4016800
1977-12-01,0.000000,8.125000,7.625000,7.875000,2.206394,1473200
1978-01-01,0.000000,7.875000,6.875000,6.968750,1.952485,2093600
1978-02-01,0.000000,7.687500,7.062500,7.312500,2.048795,1611600
1978-03-01,0.000000,8.062500,7.343750,7.750000,2.171373,1098400
1978-04-01,0.000000,8.968750,7.687500,8.687500,2.434039,1596400
1978-05-01,0.000000,8.875000,7.875000,7.875000,2.206394,3068400
1978-06-01,0.000000,9.125000,7.875000,8.156250,2.285194,2401200
1978-07-01,0.000000,8.750000,8.062500,8.625000,2.416528,2032800
1978-08-01,0.000000,9.875000,8.687500,9.000000,2.521594,2378400
1978-09-01,0.000000,9.593750,8.687500,8.687500,2.434039,1873600
1978-10-01,0.000000,9.000000,7.312500,7.437500,2.083818,1844800
1978-11-01,0.000000,8.531250,7.625000,8.250000,2.311461,1633200
1978-12-01,0.000000,8.656250,8.031250,8.312500,2.328974,1311600
1979-01-01,0.000000,9.156250,8.250000,8.906250,2.495328,2020400
1979-02-01,0.000000,9.125000,8.625000,8.687500,2.434039,1099200
1979-03-01,0.000000,9.812500,8.875000,9.687500,2.714216,2183200
1979-04-01,0.000000,9.843750,9.437500,9.500000,2.661682,1953200
1979-05-01,0.000000,9.625000,9.125000,9.125000,2.556616,2122400
1979-06-01,0.000000,10.156250,9.156250,9.625000,2.696705,2006000
1979-07-01,0.000000,10.125000,9.406250,9.968750,2.793016,1782800
1979-08-01,0.000000,10.250000,9.843750,9.843750,2.757993,2705200
1979-09-01,0.000000,10.406250,9.625000,10.218750,2.863060,2828000
1979-10-01,0.000000,10.531250,9.031250,9.031250,2.530349,2318400
1979-11-01,0.000000,10.281250,8.750000,10.125000,2.836793,1740800
1979-12-01,0.000000,10.500000,9.843750,10.187500,2.854305,1288400
1980-01-01,0.000000,10.687500,10.062500,10.062500,2.819282,2432000
1980-02-01,0.000000,9.812500,8.062500,8.250000,2.311461,2623200
1980-03-01,8.000000,8.718750,7.750000,8.375000,2.346483,5620800
1980-04-01,0.000000,9.062500,8.625000,8.812500,2.469060,3581200
1980-05-01,0.000000,9.625000,8.593750,8.875000,2.486573,1675200
1980-06-01,0.000000,9.250000,8.812500,9.062500,2.539106,2284400
1980-07-01,0.000000,9.218750,8.812500,9.062500,2.539106,2496400
1980-08-01,0.000000,9.562500,8.906250,9.500000,2.661682,2717200
