Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,7.939334,8.009593,7.377257,7.742607,1.351645,10611000
1983-11-28,7.700451,7.700451,7.391309,7.433465,1.297678,14434100
1983-12-05,7.433465,7.517776,7.349153,7.475620,1.305037,20699100
1983-12-12,7.475620,7.658295,7.461568,7.616139,1.329567,16824400
1983-12-19,7.616139,7.616139,7.349153,7.363205,1.285412,12693400
1983-12-26,7.349153,7.405361,7.306997,7.335101,1.280506,12328600
1984-01-02,7.377257,8.037697,7.377257,7.981490,1.393348,13873700
1984-01-09,7.981490,8.122008,7.855022,8.037697,1.403159,9190900
1984-01-16,8.093904,8.262527,8.093904,8.262527,1.442409,11431000
1984-01-23,8.262527,8.403047,8.178216,8.290631,1.447316,9992400
1984-01-30,8.290631,8.445203,8.220372,8.276580,1.444862,11566200
1984-02-06,8.262527,8.262527,7.826919,7.897178,1.378629,11558400
1984-02-13,7.897178,8.234424,7.826919,8.150112,1.422784,12619600
1984-02-20,8.150112,8.150112,7.784762,7.995542,1.395801,10078100
1984-02-27,7.981490,8.262527,7.784762,8.192268,1.430143,9080800
1984-03-05,8.178216,8.178216,7.883126,7.939334,1.385988,6942300
1984-03-12,7.939334,8.093904,7.897178,8.051749,1.405613,13000900
1984-03-19,8.037697,8.037697,7.925282,8.023645,1.400708,12398900
1984-03-26,7.883126,7.981490,7.869074,7.911230,1.381082,9003400
1984-04-02,7.911230,7.911230,7.616139,7.672347,1.370091,11138100
1984-04-09,7.672347,7.714503,7.419413,7.461568,1.332452,10542100
1984-04-16,7.461568,7.630191,7.433465,7.503724,1.339980,14077500
1984-04-23,7.503724,7.925282,7.475620,7.784762,1.390167,8443800
1984-04-30,7.784762,8.009593,7.658295,7.883126,1.407732,7475800
1984-05-07,7.883126,8.065801,7.812866,7.953386,1.420278,6869500
1984-05-14,7.939334,7.939334,7.700451,7.728555,1.380129,6853300
1984-05-21,7.728555,7.869074,7.630191,7.714503,1.377620,5185300
1984-05-28,7.714503,7.812866,7.517776,7.812866,1.395185,5448800
1984-06-04,7.812866,7.967438,7.742607,7.939334,1.417770,8060300
1984-06-11,7.939334,7.953386,7.840971,7.869074,1.405223,5227200
1984-06-18,7.869074,8.051749,7.812866,7.869074,1.405223,13828300
1984-06-25,7.770710,7.812866,7.602087,7.630191,1.362564,7755400
1984-07-02,7.630191,7.826919,7.616139,7.812866,1.427820,2755200
1984-07-09,7.840971,8.178216,7.840971,8.093904,1.479181,4985100
1984-07-16,8.065801,8.178216,7.967438,8.023645,1.466340,5448500
1984-07-23,8.023645,8.403047,7.981490,8.206320,1.499725,8012500
1984-07-30,8.206320,8.571670,8.107957,8.431150,1.540813,8337800
1984-08-06,8.431150,8.459254,8.150112,8.178216,1.494589,7180400
