Date,Open,High,Low,Close,Adj Close,Volume
1972-08-21,0.063477,0.064697,0.063477,0.064453,0.037805,2508800
1972-08-28,0.064453,0.064941,0.062500,0.062988,0.036945,4454400
1972-09-04,0.062988,0.062988,0.062256,0.062256,0.036516,2662400
1972-09-11,0.062744,0.063232,0.062500,0.062744,0.036802,3481600
1972-09-18,0.062988,0.063232,0.057861,0.057861,0.033938,6553600
1972-09-25,0.057617,0.057617,0.054688,0.056885,0.033365,4044800
1972-10-02,0.057373,0.062256,0.057373,0.057617,0.033795,14848000
1972-10-09,0.058105,0.058838,0.058105,0.058350,0.034225,2150400
1972-10-16,0.058105,0.062500,0.056396,0.061768,0.036229,21555200
1972-10-23,0.061768,0.061768,0.060547,0.061279,0.035943,2048000
1972-10-30,0.061279,0.067139,0.060791,0.066162,0.038807,6451200
1972-11-06,0.066162,0.067139,0.066162,0.066895,0.039237,1689600
1972-11-13,0.066650,0.066650,0.065430,0.065674,0.038521,3123200
1972-11-20,0.065674,0.067627,0.064941,0.066650,0.039093,1536000
1972-11-27,0.066650,0.068359,0.062744,0.063965,0.037518,15001600
1972-12-04,0.064453,0.067383,0.064453,0.065918,0.038664,13158400
1972-12-11,0.066406,0.067383,0.065918,0.067139,0.039380,3840000
1972-12-18,0.067139,0.067383,0.062988,0.067383,0.039523,12185600
1972-12-25,0.067383,0.068115,0.065918,0.067383,0.039523,1689600
1973-01-01,0.067627,0.068115,0.066650,0.066895,0.039237,4556800
1973-01-08,0.066895,0.066895,0.063721,0.064941,0.038091,8806400
1973-01-15,0.064453,0.066162,0.063965,0.064453,0.037805,5120000
1973-01-22,0.064209,0.064209,0.061035,0.062012,0.036373,4556800
1973-01-29,0.061523,0.061523,0.057861,0.059082,0.034654,8448000
1973-02-05,0.059082,0.059570,0.058105,0.058594,0.034368,6502400
1973-02-12,0.058594,0.063477,0.058594,0.062988,0.036945,6400000
1973-02-19,0.063477,0.063965,0.061768,0.062256,0.036516,22937600
1973-02-26,0.062012,0.062012,0.059326,0.059570,0.034941,7526400
1973-03-05,0.059570,0.059570,0.051270,0.055908,0.032793,25292800
1973-03-12,0.056152,0.056885,0.052979,0.054199,0.031790,5683200
1973-03-19,0.053711,0.053711,0.041992,0.042725,0.025060,12697600
1973-03-26,0.042725,0.044678,0.042725,0.044434,0.026062,8550400
1973-04-02,0.044434,0.044678,0.042480,0.042480,0.024917,3788800
1973-04-09,0.042480,0.042969,0.042236,0.042480,0.024917,2304000
1973-04-16,0.041992,0.042725,0.041260,0.042725,0.025060,2406400
1973-04-23,0.042969,0.045410,0.042969,0.043945,0.025776,9011200
1973-04-30,0.043701,0.043945,0.042969,0.043945,0.025776,2201600
1973-05-07,0.043457,0.044189,0.043457,0.043457,0.025489,1024000
1973-05-14,0.042725,0.042725,0.041504,0.042236,0.024773,5888000
1973-05-21,0.041992,0.041992,0.040283,0.041992,0.024630,9164800
1973-05-28,0.042480,0.044189,0.042480,0.042969,0.025203,972800
1973-06-04,0.042969,0.042969,0.037354,0.038818,0.022769,5529600
1973-06-11,0.038818,0.038818,0.029297,0.029297,0.017184,55193600
1973-06-18,0.029541,0.034668,0.029297,0.033447,0.019618,5683200
1973-06-25,0.033203,0.033203,0.028809,0.029541,0.017327,21248000
1973-07-02,0.029541,0.031494,0.029541,0.031494,0.018473,2457600
1973-07-09,0.031494,0.031494,0.028809,0.029297,0.017184,4403200
1973-07-16,0.029785,0.039551,0.029785,0.039551,0.023198,3891200
1973-07-23,0.039551,0.051514,0.039307,0.043701,0.025633,10700800
1973-07-30,0.044189,0.046875,0.042969,0.043213,0.025346,4403200
1973-08-06,0.043213,0.043701,0.040527,0.042236,0.024773,3584000
1973-08-13,0.042236,0.042480,0.040527,0.041992,0.024630,2048000
1973-08-20,0.041504,0.041748,0.038086,0.041016,0.024057,5785600
1973-08-27,0.041504,0.042480,0.040771,0.041260,0.024201,2201600
1973-09-03,0.041748,0.042480,0.041748,0.041992,0.024630,3635200
1973-09-10,0.041992,0.042480,0.037842,0.038330,0.022482,4864000
1973-09-17,0.038574,0.044922,0.038574,0.044922,0.026349,9062400
1973-09-24,0.044922,0.044922,0.043213,0.043945,0.025776,4505600
1973-10-01,0.043701,0.044678,0.042969,0.044678,0.026205,2201600
1973-10-08,0.044678,0.045898,0.043945,0.045898,0.026921,3225600
1973-10-15,0.045898,0.045898,0.044922,0.044922,0.026349,1433600
1973-10-22,0.044434,0.045410,0.044434,0.044922,0.026349,4300800
1973-10-29,0.045410,0.046875,0.044434,0.044434,0.026062,2355200
1973-11-05,0.043945,0.043945,0.039795,0.039795,0.023341,4556800
1973-11-12,0.039795,0.039795,0.035645,0.036377,0.021337,6092800
1973-11-19,0.035889,0.035889,0.030518,0.030518,0.017900,12390400
1973-11-26,0.030518,0.031494,0.027344,0.030273,0.017757,17766400
1973-12-03,0.030029,0.030029,0.028320,0.029785,0.017470,6758400
1973-12-10,0.029785,0.029785,0.025391,0.026123,0.015322,6912000
1973-12-17,0.026123,0.026855,0.024414,0.026367,0.015465,11417600
1973-12-24,0.026367,0.027588,0.024414,0.025391,0.014893,11520000
1973-12-31,0.025391,0.031250,0.024414,0.029785,0.017470,7014400
1974-01-07,0.029785,0.030762,0.029785,0.029785,0.017470,1792000
1974-01-14,0.030273,0.031250,0.029785,0.031250,0.018329,1024000
1974-01-21,0.030762,0.035156,0.030518,0.035156,0.020621,3584000
1974-01-28,0.035156,0.037109,0.035156,0.035156,0.020621,2969600
1974-02-04,0.033691,0.034668,0.031250,0.031250,0.018329,4352000
1974-02-11,0.032959,0.033691,0.028320,0.031738,0.018616,5734400
1974-02-18,0.031250,0.031738,0.030762,0.031494,0.018473,1075200
1974-02-25,0.031982,0.033203,0.030273,0.030273,0.017757,11980800
1974-03-04,0.030273,0.031494,0.029785,0.031494,0.018473,5427200
1974-03-11,0.031982,0.033203,0.031250,0.031494,0.018473,3225600
1974-03-18,0.031250,0.031250,0.029785,0.031006,0.018242,3532800
1974-03-25,0.031006,0.031006,0.030518,0.030518,0.017955,204800
1974-04-01,0.030518,0.031006,0.030518,0.031006,0.018242,972800
1974-04-08,0.031250,0.032227,0.031250,0.031738,0.018673,1177600
1974-04-15,0.031738,0.032227,0.031494,0.031738,0.018673,1689600
1974-04-22,0.031738,0.031738,0.030762,0.031250,0.018386,3225600
1974-04-29,0.031006,0.031006,0.029297,0.029785,0.017524,1894400
1974-05-06,0.029785,0.032715,0.029785,0.031738,0.018673,1894400
1974-05-13,0.031738,0.031982,0.031494,0.031738,0.018673,1382400
1974-05-20,0.031494,0.033691,0.030273,0.033691,0.019822,5580800
1974-05-27,0.034424,0.034424,0.032715,0.033203,0.019535,4044800
1974-06-03,0.033203,0.037109,0.033203,0.037109,0.021833,8806400
1974-06-10,0.038086,0.038574,0.037109,0.038574,0.022695,11520000
1974-06-17,0.038574,0.039063,0.038574,0.038818,0.022838,10598400
1974-06-24,0.038086,0.039551,0.038086,0.038086,0.022408,8345600
1974-07-01,0.037842,0.038818,0.037598,0.038086,0.022408,2457600
1974-07-08,0.037598,0.037842,0.037354,0.037842,0.022264,1996800
1974-07-15,0.038086,0.040039,0.037598,0.040039,0.023557,2560000
1974-07-22,0.039551,0.039551,0.038086,0.038086,0.022408,2099200
1974-07-29,0.038086,0.038574,0.037598,0.038086,0.022408,1075200
1974-08-05,0.037598,0.038330,0.037109,0.038330,0.022551,1484800
1974-08-12,0.037598,0.037598,0.029785,0.029785,0.017524,3584000
1974-08-19,0.030029,0.030518,0.028809,0.030518,0.017955,3225600
1974-08-26,0.031006,0.033447,0.031006,0.032227,0.018960,1843200
1974-09-02,0.032227,0.032715,0.031250,0.031982,0.018817,1331200
1974-09-09,0.031982,0.031982,0.028564,0.028564,0.016806,1126400
1974-09-16,0.028320,0.029053,0.028076,0.028320,0.016714,4454400
1974-09-23,0.028320,0.028809,0.028320,0.028320,0.016714,512000
1974-09-30,0.027832,0.027832,0.022461,0.022461,0.013256,2048000
1974-10-07,0.021729,0.025391,0.021484,0.025391,0.014985,4812800
