Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,0.000000,1.656250,1.546875,1.656250,0.124073,23075200
1962-02-01,0.000000,1.757813,1.656250,1.730469,0.129633,21590400
1962-03-01,0.000000,1.746094,1.667969,1.707031,0.129291,17254400
1962-04-01,0.000000,1.746094,1.625000,1.671875,0.126628,20115200
1962-05-01,0.000000,1.730469,1.417969,1.625000,0.123078,33334400
1962-06-01,0.000000,1.621094,1.492188,1.562500,0.119652,28867200
1962-07-01,0.000000,1.640625,1.550781,1.636719,0.125336,18569600
1962-08-01,0.000000,1.652344,1.593750,1.625000,0.124438,15321600
1962-09-01,0.000000,1.671875,1.589844,1.609375,0.124687,12115200
1962-10-01,0.000000,1.660156,1.480469,1.617188,0.125292,16684800
1962-11-01,0.000000,1.777344,1.597656,1.761719,0.136490,20361600
1962-12-01,0.000000,1.867188,1.746094,1.859375,0.145944,21609600
1963-01-01,0.000000,1.878906,1.824219,1.871094,0.146864,21196800
1963-02-01,0.000000,1.898438,1.855469,1.863281,0.146251,16512000
1963-03-01,0.000000,2.000000,1.847656,1.976563,0.156827,19472000
1963-04-01,0.000000,2.128906,1.980469,2.113281,0.167675,21052800
1963-05-01,0.000000,2.152344,2.000000,2.117188,0.167985,16627200
1963-06-01,0.000000,2.148438,2.070313,2.136719,0.171233,18310400
1963-07-01,0.000000,2.210938,2.105469,2.191406,0.175616,17206400
1963-08-01,0.000000,2.246094,2.183594,2.234375,0.179060,13942400
1963-09-01,0.000000,2.292969,2.140625,2.140625,0.173117,14697600
1963-10-01,0.000000,2.289063,2.148438,2.218750,0.179435,16627200
1963-11-01,0.000000,2.265625,2.023438,2.218750,0.179435,22396800
1963-12-01,0.000000,2.394531,2.226563,2.375000,0.194230,24374400
1964-01-01,0.000000,2.574219,2.343750,2.570313,0.210203,19548800
1964-02-01,0.000000,2.578125,2.492188,2.566406,0.209883,13136000
1964-03-01,0.000000,2.656250,2.535156,2.625000,0.216513,13235200
1964-04-01,0.000000,2.730469,2.578125,2.687500,0.221668,14457600
1964-05-01,0.000000,2.839844,2.667969,2.722656,0.224567,12096000
1964-06-01,0.000000,2.757813,2.605469,2.718750,0.226001,13616000
1964-07-01,0.000000,2.812500,2.718750,2.765625,0.229898,14556800
1964-08-01,0.000000,2.750000,2.625000,2.656250,0.220806,11094400
1964-09-01,0.000000,2.777344,2.625000,2.695313,0.226015,10905600
1964-10-01,0.000000,2.792969,2.675781,2.787109,0.233713,10768000
1964-11-01,0.000000,2.902344,2.746094,2.796875,0.234532,12896000
1964-12-01,0.000000,2.824219,2.726563,2.816406,0.238434,12697600
1965-01-01,0.000000,2.832031,2.726563,2.730469,0.231159,13116800
1965-02-01,0.000000,2.738281,2.519531,2.558594,0.216608,24582400
1965-03-01,0.000000,2.550781,2.394531,2.453125,0.209472,27606400
1965-04-01,0.000000,2.539063,2.390625,2.464844,0.210473,27481600
1965-05-01,0.000000,2.511719,2.402344,2.433594,0.207804,15696000
1965-06-01,0.000000,2.484375,2.324219,2.445313,0.210781,17721600
1965-07-01,0.000000,2.460938,2.335938,2.382813,0.205394,15184000
1965-08-01,0.000000,2.390625,2.300781,2.308594,0.198996,15920000
1965-09-01,0.000000,2.500000,2.300781,2.453125,0.213552,20902400
1965-10-01,0.000000,2.609375,2.406250,2.515625,0.218993,15523200
1965-11-01,0.000000,2.625000,2.472656,2.496094,0.217292,13891200
1965-12-01,0.000000,2.593750,2.425781,2.511719,0.221118,18902400
1966-01-01,0.000000,2.628906,2.484375,2.519531,0.221805,18451200
1966-02-01,0.000000,2.542969,2.351563,2.394531,0.210801,15875200
1966-03-01,0.000000,2.410156,2.277344,2.304688,0.204912,19248000
1966-04-01,0.000000,2.468750,2.304688,2.417969,0.214984,15020800
1966-05-01,0.000000,2.414063,2.214844,2.253906,0.200397,14934400
1966-06-01,0.000000,2.289063,2.046875,2.148438,0.193097,22902400
1966-07-01,0.000000,2.242188,2.109375,2.164063,0.194501,14220800
1966-08-01,0.000000,2.171875,1.867188,2.000000,0.179756,33126400
1966-09-01,0.000000,2.132813,1.921875,1.980469,0.180088,18320000
1966-10-01,0.000000,2.218750,1.914063,2.183594,0.198559,18496000
1966-11-01,0.000000,2.195313,1.988281,2.007813,0.182575,15728000
1966-12-01,0.000000,2.093750,1.910156,1.976563,0.182109,26499200
1967-01-01,0.000000,2.085938,1.945313,1.960938,0.180669,38720000
1967-02-01,0.000000,2.058594,1.886719,1.890625,0.174191,41817600
1967-03-01,0.000000,2.042969,1.890625,2.000000,0.184268,60707200
1967-04-01,0.000000,2.015625,1.945313,1.972656,0.181749,38937600
1967-05-01,0.000000,2.089844,1.910156,1.910156,0.175991,46246400
1967-06-01,0.000000,1.992188,1.855469,1.906250,0.177765,41392000
1967-07-01,0.000000,2.031250,1.878906,2.011719,0.187601,34569600
1967-08-01,0.000000,2.062500,1.933594,1.945313,0.181408,30736000
1967-09-01,0.000000,2.207031,1.925781,2.093750,0.195250,42134400
1967-10-01,0.000000,2.183594,2.027344,2.125000,0.198164,31404800
1967-11-01,0.000000,2.121094,1.921875,2.078125,0.193793,33177600
1967-12-01,0.000000,2.152344,1.992188,2.109375,0.199833,32022400
1968-01-01,0.000000,2.242188,2.109375,2.164063,0.205014,36012800
1968-02-01,0.000000,2.199219,2.093750,2.117188,0.200573,18947200
1968-03-01,0.000000,2.195313,2.082031,2.183594,0.209425,25132800
1968-04-01,0.000000,2.265625,2.156250,2.238281,0.214670,34931200
1968-05-01,0.000000,2.250000,2.082031,2.105469,0.201932,40937600
1968-06-01,0.000000,2.148438,2.085938,2.125000,0.206244,42960000
1968-07-01,0.000000,2.519531,2.113281,2.445313,0.237333,62883200
1968-08-01,0.000000,2.480469,2.347656,2.464844,0.239229,27763200
1968-09-01,0.000000,2.480469,2.367188,2.429688,0.238583,32665600
1968-10-01,0.000000,2.558594,2.410156,2.531250,0.248556,37638400
1968-11-01,0.000000,2.660156,2.457031,2.648438,0.260063,23910400
1968-12-01,0.000000,2.652344,2.437500,2.457031,0.244466,21798400
1969-01-01,0.000000,2.515625,2.367188,2.496094,0.248353,33638400
1969-02-01,0.000000,2.613281,2.367188,2.433594,0.242134,27936000
1969-03-01,0.000000,2.589844,2.406250,2.566406,0.258201,19987200
1969-04-01,0.000000,2.605469,2.484375,2.531250,0.254664,25740800
1969-05-01,0.000000,2.667969,2.496094,2.617188,0.263310,27414400
1969-06-01,0.000000,2.664063,2.417969,2.425781,0.246821,27468800
1969-07-01,0.000000,2.457031,2.050781,2.179688,0.221782,37462400
1969-08-01,0.000000,2.289063,2.148438,2.277344,0.231718,22256000
1969-09-01,0.000000,2.285156,2.128906,2.152344,0.221753,21590400
1969-10-01,0.000000,2.195313,2.039063,2.085938,0.214911,31641600
1969-11-01,0.000000,2.109375,1.890625,1.941406,0.200020,41564800
1969-12-01,0.000000,1.976563,1.886719,1.929688,0.201954,48608000
