Date,BA,UNH,AAPL,HD,GS,MCD,V,MMM,MSFT,UTX,DIS,IBM,TRV,CAT,JNJ,PG,JPM,WMT,AXP,CVX,NKE,MRK,XOM,VZ,WBA,KO,INTC,CSCO,DOW,PFE
36556,44.5,6.625,3.705357143,56.625,91.625,37.375,,46.8125,48.9375,26.46875,35.82971805,112.25,30.1875,21.21875,43.03125,50.53125,53.79166667,54.75,48.07120532,41.8125,5.6875,74.41521308,41.4375,55.51739027,27.9375,28.71875,49.46875,54.75,,36.1875
36585,36.9375,6.390625,4.09375,57.5,92.5,31.75,,44.09375,44.6875,25.46875,33.5479632,102.75,22.375,17.53125,36,43.9375,53.08333333,48.75,39.15359553,37.34375,3.5546875,58.26628369,37.65625,43.86490069,25.8125,24.3125,56.5,66.09375,,32.125
36616,37.8125,7.453125,4.850446429,64.5,105.25,37.375,,44.28125,53.125,31.59375,40.701573,118.375,34.125,19.71875,35.125,28.375,58.125,56.5,43.45739085,46.21875,4.953125,58.79866598,39,54.78910968,25.75,23.46875,65.96875,77.3125,,36.5625
36644,39.6875,8.3359375,4.430803571,56.5,93.25,38.0625,,43.3125,34.875,31.09375,43.0449969,111.5,35.625,19.71875,41.25,29.875,48.08333333,55.375,43.62151863,42.5625,5.4296875,65.7787893,38.84375,53.78072115,28.125,23.625,63.40625,69.328125,,42.125
36677,39.0625,9.3203125,3,49,73.5625,35.8125,,42.875,31.28125,30.21875,41.62660875,107.3125,37.5,19.125,44.75,33.25,49.79166667,57.625,47.2688028,46.21875,5.359375,70.62938348,41.65625,47.39426052,28.375,26.6875,62.34375,56.9375,,44.5
36707,41.8125,10.71875,3.741071429,49.9375,94.7734375,32.9375,,41.5,40,29.4375,38.29648005,109.5625,34.125,16.9375,50.9375,28.375,46.0625,57.625,45.62752493,42.40625,4.9765625,72.52229828,39.25,45.54554823,32.1875,28.71875,66.84375,63.5625,,48
36738,48.8125,10.2265625,3.629464286,51.75,98.6875,31.6875,,45.03125,34.90625,29.1875,38.04980385,112.25,44.4375,17.03125,46.53125,28.5,49.8125,55.25,49.62130109,39.4921875,5.46875,67.81958807,40.09375,41.90414523,31.1875,30.65625,66.75,65.4375,,43.375
36769,53.640625,11.81494531,4.352678571,48.0625,129.5,29.8945625,,46.50978125,34.90625,31.21875,38.43912056,132.015625,47.515625,18.38478125,45.97853125,30.91603125,55.875,47.625,51.65922112,42.25978125,4.947757813,66.1522259,40.82228125,39.00502823,32.8945625,26.32228125,74.875,68.625,,43.140625
36798,64.5,12.34375,1.839285714,52.9375,114.0625,30.1875,,45.5625,30.15625,34.6875,37.7414586,112.625,50.375,15.5,46.96875,33.5,46.1875,48.125,53.17740315,42.625,5.0078125,70.45192271,44.55275,43.41672801,37.9375,27.5625,41.5625,55.25,,44.918
36830,67.8125,13.671875,1.397321429,43,99.8125,31,,48.3125,34.4375,34.90625,35.33636565,98.5,51.25,17.53125,46.0625,35.71875,45.5,45.375,52.520892,41.0625,4.9921875,85.12201241,44.59375,51.8199657,45.625,30.1875,45,53.875,,43.1875
36860,69.0625,14.6640625,1.178571429,39.1875,82.125,31.875,,49.9375,28.6875,35.40625,28.55277015,93.5,50.125,19.65625,50,37.4375,36.875,52.1875,48.08944174,40.9375,5.328125,87.72477026,44,50.3634045,44.5625,31.3125,38.0625,47.875,,44.3125
36889,66,15.34375,1.0625,45.6875,106.9375,34,,60.25,21.6875,39.3125,28.55277015,85,54.3125,23.65625,52.53125,39.21875,45.4375,53.125,48.08944174,42.21875,6.9765625,88.61207408,43.46875,44.9293108,41.8125,30.46875,30.0625,38.25,,46
36922,58.5,14.1025,1.544642857,48.2,113.75,29.35,,55.325,30.53125,37.49,30.04516116,112,48.02,22.11,46.565,35.92,54.99,56.8,41.22890022,41.64,6.8775,77.77986913,42.075,49.25417712,40.94,29,37,37.4375,,45.15
