Date,BA,UNH,AAPL,HD,GS,MCD,V,MMM,MSFT,UTX,DIS,IBM,TRV,CAT,JNJ,PG,JPM,WMT,AXP,CVX,NKE,MRK,XOM,VZ,WBA,KO,INTC,CSCO,DOW,PFE
2000-1-7,44.3125,7.6640625,3.553571429,63.5,82.5625,39.875,,51.375,55.71875,32,30.7111869,113.5,34.25,26.65625,48.25,58.25,48.5,68.5,44.47863041,45.15625,5.984375,70.92515141,42.46875,52.71631105,27.6875,30.375,41,52.9375,,34.5
2000-1-14,44,7.703125,3.587053571,61.9375,85.625,42.609375,,49.65625,56.125,31.90625,33.11627985,119.625,34,25.96875,46.84375,58.5,49.25,64.5,46.53934597,43.5,6.4140625,70.15615478,41.875,50.47544767,29.4375,30.53125,51.53125,53.78125,,37
2000-1-21,45.6875,7.296875,3.975446429,60,85.6875,41.0625,,47.46875,51.875,30.3125,32.3145822,121.5,31.5,23.6875,44.9375,51.34375,48.625,62.4375,44.25979336,44.28125,6.3359375,68.55900791,42.5,53.83674274,29.9375,33.4375,48.96875,57.625,,35.0625
2000-1-28,44.625,6.578125,3.629464286,55.625,87,36.75,,46.125,49.125,26.125,36.2614014,111.5625,30,21.75,42.25,50.15625,51.125,55.125,46.17461755,41.28125,5.859375,72.28568393,39.4375,51.65190094,28.8125,28.46875,47,51.9375,,35.1875
2000-2-4,44,7.09375,3.857142857,61.125,84.6875,35.125,,44.53125,53.28125,25.6875,37.6181205,115.625,26.75,21.15625,41.0625,47.375,54.5,56.3125,47.10467501,39.28125,5.8359375,71.04345859,40.4375,52.49222471,29.1875,28.125,52.375,60.5625,,35.75
2000-2-11,39.875,7,3.883928571,60.0625,85.125,34.9375,,41.46875,49.96875,24.1875,37.3714443,115.375,24.375,18,38.72071875,46.875,55.08333333,56.0625,44.78864957,37,4.25,61.75634535,36.9375,50.19533974,29.625,27.78125,52.9375,65.46875,,35
2000-2-18,36,7.234375,3.973214286,53.75,80.8125,32.5,,43.78125,47.53125,26.1875,35.0280204,112.5,23.625,18.84375,38.71875,46.81640625,49.83333333,47.75,40.33896288,38.09375,3.5,58.6803588,37.5,46.49791516,26.1875,25.6875,52.6875,62.90625,,34
2000-2-25,37.8125,6.40625,3.941964286,53,89.25,31,,42.875,45.65625,25.03125,30.5878488,108,22.875,18,36,42.5625,50.58333333,44.5,36.39989598,35.53125,3.3203125,56.96490476,35.53125,42.63242583,26.125,24.34375,56.625,66.375,,32.375
2000-3-3,35.9375,6.8046875,4.571428571,54.5,102.5,32.3125,,44.75,48.0625,25.90625,36.0147252,108,22.5625,18.1875,36.75,44.21875,54.08333333,52.625,38.9529949,37.28125,3.671875,54.4213005,37.84375,49.57910231,24.5195625,25.0625,59.625,68.71875,,32.625
2000-3-10,32.375,6.359375,4.491071429,53.5,112.25,31.75,,40.75,50.5,24.4375,34.6580061,105.25,23,17.84375,35.4375,26.875,52.45833333,47.9375,36.96522503,40.1875,3.359375,56.37336889,38.515625,51.37179302,24.5,22.75,60.09375,68.1875,,35
2000-3-17,38,6.453125,4.464285714,63.1875,116.5,33.8125,,42.9375,49.6875,27.3125,36.32307045,110,26.625,19.8125,39.78125,28.8125,60.66666667,55.75,41.90729508,41.65625,4.25,59.39020185,38.5625,53.05244055,27.9375,24.5625,64.9375,67.5,,35.8125
2000-3-24,36,7.1796875,4.953125,64.375,121.3125,34.8125,,45.4375,55.84375,28.53125,40.88658015,120.625,29.5,19.75,36.125,28.21875,64.125,55.5,45.40868788,42.8125,4.234375,58.44374445,38.625,53.33254848,28,23.5,69.53125,79.375,,34.875
