Date,Open,High,Low,Close,Adj Close,Volume
1985-02-04,0.552300,0.581370,0.552300,0.552300,0.199163,50400
1985-02-05,0.552300,0.610440,0.552300,0.552300,0.199163,18400
1985-02-06,0.581370,0.654060,0.581370,0.581370,0.209646,65600
1985-02-07,0.581370,0.610440,0.581370,0.581370,0.209646,40000
1985-02-08,0.581370,0.610440,0.581370,0.581370,0.209646,25600
1985-02-11,0.581370,0.654060,0.581370,0.581370,0.209646,29600
1985-02-12,0.581370,0.610440,0.581370,0.581370,0.209646,34400
1985-02-13,0.000000,0.703125,0.625000,0.625000,0.225380,19200
1985-02-14,0.000000,0.703125,0.625000,0.625000,0.225380,65600
1985-02-15,0.000000,0.703125,0.625000,0.625000,0.225380,31200
1985-02-19,0.000000,0.625000,0.625000,0.625000,0.225380,8800
1985-02-20,0.000000,0.625000,0.625000,0.625000,0.225380,40000
1985-02-21,0.000000,0.625000,0.625000,0.625000,0.225380,28800
1985-02-22,0.000000,0.625000,0.546875,0.546875,0.197207,65600
1985-02-25,0.000000,0.625000,0.546875,0.546875,0.197207,53600
1985-02-26,0.000000,0.625000,0.546875,0.546875,0.197207,28800
1985-02-27,0.000000,0.625000,0.546875,0.546875,0.197207,15200
1985-02-28,0.000000,0.625000,0.546875,0.546875,0.197207,34400
1985-03-01,0.000000,0.625000,0.546875,0.546875,0.197207,64000
1985-03-04,0.000000,0.625000,0.625000,0.625000,0.225380,8000
1985-03-05,0.000000,0.625000,0.546875,0.546875,0.197207,19200
1985-03-06,0.000000,0.625000,0.546875,0.546875,0.197207,71200
1985-03-07,0.000000,0.625000,0.546875,0.546875,0.197207,50400
1985-03-08,0.000000,0.546875,0.546875,0.546875,0.197207,252000
1985-03-11,0.000000,0.546875,0.546875,0.546875,0.197207,55200
1985-03-12,0.000000,0.546875,0.546875,0.546875,0.197207,86400
1985-03-13,0.000000,0.625000,0.546875,0.546875,0.197207,16000
1985-03-14,0.000000,0.625000,0.546875,0.546875,0.197207,8000
1985-03-15,0.000000,0.625000,0.546875,0.546875,0.197207,8800
1985-03-18,0.000000,0.625000,0.625000,0.625000,0.225380,58400
1985-03-19,0.000000,0.703125,0.703125,0.703125,0.253552,149600
1985-03-20,0.000000,0.703125,0.625000,0.625000,0.225380,58400
1985-03-21,0.000000,0.703125,0.625000,0.625000,0.225380,46400
1985-03-22,0.000000,0.703125,0.703125,0.703125,0.253552,25600
1985-03-25,0.000000,0.703125,0.625000,0.625000,0.225380,47200
1985-03-26,0.000000,0.703125,0.625000,0.625000,0.225380,25600
1985-03-27,0.000000,0.703125,0.625000,0.625000,0.225380,7200
1985-03-28,0.000000,0.703125,0.625000,0.625000,0.225380,45600
1985-03-29,0.000000,0.703125,0.625000,0.625000,0.225380,19200
1985-04-01,0.000000,0.703125,0.625000,0.625000,0.225380,54400
1985-04-02,0.000000,0.625000,0.625000,0.625000,0.225380,76000
1985-04-03,0.000000,0.625000,0.625000,0.625000,0.225380,12800
1985-04-04,0.000000,0.625000,0.625000,0.625000,0.225380,76000
1985-04-08,0.625000,0.625000,0.625000,0.625000,0.225380,0
1985-04-09,0.000000,0.625000,0.546875,0.546875,0.197207,18400
1985-04-10,0.000000,0.625000,0.546875,0.546875,0.197207,12800
1985-04-11,0.000000,0.625000,0.546875,0.546875,0.197207,30400
1985-04-12,0.000000,0.625000,0.546875,0.546875,0.197207,28000
1985-04-15,0.000000,0.625000,0.546875,0.546875,0.197207,41600
1985-04-16,0.000000,0.625000,0.625000,0.625000,0.225380,16000
1985-04-17,0.000000,0.625000,0.625000,0.625000,0.225380,41600
