Date,Open,High,Low,Close,Adj Close,Volume
1972-05-29,3.693287,3.693287,3.677195,3.677195,1.271862,0
1972-06-05,3.604777,3.604777,3.371432,3.427757,1.185588,0
1972-06-12,3.484082,3.484082,3.395571,3.395571,1.174455,0
1972-06-19,3.363386,3.508221,3.331200,3.331200,1.152191,0
1972-06-26,3.234644,3.588684,3.234644,3.588684,1.241248,0
1972-07-03,3.725473,3.862261,3.725473,3.797890,1.313609,0
1972-07-10,3.765705,3.773751,3.612823,3.636963,1.257947,0
1972-07-17,3.604777,3.636963,3.451896,3.524313,1.218984,0
1972-07-24,3.588684,3.588684,3.548453,3.564545,1.232900,0
1972-07-31,3.556499,3.950771,3.556499,3.950771,1.366486,0
1972-08-07,3.942725,4.039281,3.886400,4.039281,1.397100,0
1972-08-14,4.007096,4.007096,3.862261,3.878354,1.341440,0
1972-08-21,3.862261,3.862261,3.709380,3.709380,1.282996,0
1972-08-28,3.709380,3.991003,3.709380,3.991003,1.380402,0
1972-09-04,3.918586,3.918586,3.717427,3.717427,1.285778,0
1972-09-11,3.612823,3.645009,3.524313,3.645009,1.260731,0
1972-09-18,3.693287,3.846169,3.693287,3.765705,1.302477,0
1972-09-25,3.725473,4.007096,3.725473,3.966864,1.372053,0
1972-10-02,3.991003,4.007096,3.765705,3.830076,1.324741,0
1972-10-09,3.902493,3.902493,3.669148,3.669148,1.269080,0
1972-10-16,3.636963,3.991003,3.636963,3.991003,1.380402,0
1972-10-23,3.926632,3.958818,3.926632,3.950771,1.366486,0
1972-10-30,3.966864,3.966864,3.918586,3.926632,1.358138,0
1972-11-06,4.007096,4.111699,4.007096,4.111699,1.422148,0
1972-11-13,4.184116,4.184116,3.991003,3.991003,1.380402,0
1972-11-20,3.926632,4.047328,3.926632,4.047328,1.399884,0
1972-11-27,4.007096,4.023189,3.926632,4.023189,1.391535,0
1972-12-04,4.111699,4.127792,4.087560,4.087560,1.413800,0
1972-12-11,4.071467,4.071467,4.007096,4.023189,1.391535,0
