Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,5.222222,5.018518,5.222222,1.211149,282900
1980-03-24,0.000000,5.185185,4.925926,5.018518,1.163906,339900
1980-03-31,0.000000,5.555555,5.074074,5.500000,1.275572,550500
1980-04-07,0.000000,5.629630,5.259259,5.481482,1.271277,817800
1980-04-14,0.000000,5.481482,5.296296,5.296296,1.228329,183000
1980-04-21,0.000000,5.333333,5.111111,5.222222,1.211149,569400
1980-04-28,0.000000,5.592593,5.277778,5.555555,1.288456,369900
1980-05-05,0.000000,5.962963,5.629630,5.796296,1.344290,1309200
1980-05-12,0.000000,5.851852,5.648148,5.740741,1.331405,176700
1980-05-19,0.000000,5.925926,5.666667,5.851852,1.357174,434100
1980-05-26,0.000000,5.907407,5.685185,5.796296,1.344290,380400
1980-06-02,0.000000,6.222222,5.722222,6.222222,1.443071,652500
1980-06-09,0.000000,6.370370,5.870370,6.370370,1.477430,775800
1980-06-16,0.000000,6.296296,5.740741,5.777778,1.339994,1061700
1980-06-23,0.000000,5.962963,5.685185,5.944445,1.378649,1921500
1980-06-30,0.000000,5.962963,5.814815,5.962963,1.382944,813000
1980-07-07,0.000000,6.055555,5.907407,6.018518,1.395827,454500
1980-07-14,0.000000,6.333333,6.000000,6.333333,1.468840,669000
1980-07-21,0.000000,6.648148,6.166667,6.203704,1.438776,1408500
1980-07-28,0.000000,6.222222,6.148148,6.148148,1.425892,360900
1980-08-04,0.000000,6.222222,6.018518,6.111111,1.417302,422100
1980-08-11,0.000000,6.222222,5.981482,6.222222,1.443071,516000
1980-08-18,0.000000,6.222222,6.055555,6.148148,1.425892,346200
1980-08-25,0.000000,6.259259,6.000000,6.074074,1.408713,305400
1980-09-01,0.000000,6.388889,6.074074,6.277778,1.455956,284100
1980-09-08,0.000000,6.370370,6.166667,6.314815,1.464545,617100
1980-09-15,0.000000,6.388889,6.277778,6.333333,1.468840,1074900
1980-09-22,0.000000,6.388889,5.907407,5.907407,1.370059,2297700
1980-09-29,0.000000,6.055555,5.814815,6.018518,1.395827,341100
1980-10-06,0.000000,6.296296,6.037037,6.129630,1.421596,361200
1980-10-13,0.000000,6.222222,6.037037,6.111111,1.417302,455400
1980-10-20,0.000000,6.148148,6.000000,6.037037,1.400122,337500
1980-10-27,0.000000,6.148148,6.000000,6.092593,1.413007,506100
1980-11-03,0.000000,6.148148,5.833333,5.888889,1.365764,392400
1980-11-10,0.000000,6.333333,5.870370,6.240741,1.447366,413400
1980-11-17,0.000000,6.277778,5.777778,5.814815,1.348584,977700
1980-11-24,0.000000,5.944445,5.777778,5.833333,1.352880,225300
1980-12-01,0.000000,5.907407,5.722222,5.759259,1.335700,327600
1980-12-08,0.000000,5.814815,5.648148,5.722222,1.327111,550500
1980-12-15,0.000000,6.259259,5.722222,6.185185,1.434482,2217300
1980-12-22,0.000000,6.314815,6.129630,6.185185,1.434482,789300
1980-12-29,0.000000,6.388889,6.092593,6.351852,1.473135,869700
1981-01-05,0.000000,6.796296,6.222222,6.740741,1.563328,1560900
1981-01-12,0.000000,7.351852,6.796296,7.166667,1.662108,3283800
1981-01-19,0.000000,7.166667,6.814815,6.925926,1.606276,572400
1981-01-26,0.000000,6.944445,6.777778,6.796296,1.576210,1374300
1981-02-02,0.000000,7.129630,6.722222,6.925926,1.606276,1482900
1981-02-09,0.000000,7.351852,6.888889,7.240741,1.679288,2849700
1981-02-16,0.000000,7.314815,7.166667,7.259259,1.683584,1172700
1981-02-23,0.000000,7.555555,7.222222,7.481482,1.735120,2349900
1981-03-02,0.000000,7.500000,7.370370,7.444445,1.726531,1165800
1981-03-09,0.000000,7.629630,7.259259,7.629630,1.769479,1330200
1981-03-16,0.000000,8.074074,7.629630,7.925926,1.838197,3148500
1981-03-23,0.000000,7.962963,7.722222,7.722222,1.790955,1969800
1981-03-30,0.000000,8.037037,7.722222,7.851852,1.821019,1007400
1981-04-06,0.000000,8.092592,7.814815,8.000000,1.855377,1176600
1981-04-13,0.000000,8.148149,7.888889,8.111111,1.881146,926400
1981-04-20,0.000000,8.370370,8.129630,8.296296,1.924094,1138200
1981-04-27,0.000000,8.407408,7.944445,7.962963,1.846787,666300
1981-05-04,0.000000,7.925926,7.574074,7.796296,1.808134,1163100
1981-05-11,0.000000,7.833333,7.629630,7.777778,1.803839,885000
1981-05-18,0.000000,8.407408,7.740741,8.407408,1.949863,1681500
1981-05-25,0.000000,8.555555,8.370370,8.518518,1.975633,933600
1981-06-01,0.000000,8.666667,8.296296,8.462963,1.962750,920700
1981-06-08,0.000000,9.055555,8.259259,9.000000,2.087300,3201000
1981-06-15,0.000000,9.333333,8.703704,8.777778,2.035762,1075500
1981-06-22,0.000000,8.777778,8.462963,8.518518,1.975633,2323500
1981-06-29,0.000000,8.592592,8.462963,8.500000,1.971338,1056600
1981-07-06,0.000000,8.425926,8.000000,8.277778,1.919800,798000
1981-07-13,0.000000,8.259259,7.814815,8.000000,1.855377,1476600
1981-07-20,0.000000,7.981482,7.592593,7.888889,1.829607,789000
1981-07-27,0.000000,8.037037,7.814815,7.925926,1.838197,282000
1981-08-03,0.000000,7.925926,7.462963,7.833333,1.816724,852000
1981-08-10,0.000000,8.259259,7.814815,8.259259,1.915505,610800
1981-08-17,0.000000,8.222222,7.796296,7.888889,1.829607,405000
1981-08-24,0.000000,7.888889,7.407407,7.703704,1.786660,382800
1981-08-31,0.000000,7.759259,7.074074,7.203704,1.670699,533100
1981-09-07,0.000000,7.481482,6.925926,7.481482,1.735120,952800
1981-09-14,0.000000,7.481482,7.222222,7.407407,1.717942,1783500
1981-09-21,0.000000,7.648148,7.111111,7.388889,1.713647,2204400
1981-09-28,0.000000,7.740741,7.129630,7.666667,1.778069,1612200
1981-10-05,0.000000,8.296296,7.629630,8.259259,1.915505,854700
1981-10-12,0.000000,8.407408,8.111111,8.111111,1.881146,1010700
1981-10-19,0.000000,8.111111,7.814815,7.925926,1.838197,312000
1981-10-26,0.000000,8.296296,7.851852,8.277778,1.919800,507900
1981-11-02,0.000000,8.518518,8.259259,8.518518,1.975633,1094700
1981-11-09,0.000000,8.796296,8.277778,8.296296,1.924094,1606200
1981-11-16,0.000000,8.296296,7.962963,8.074074,1.872557,1865400
1981-11-23,0.000000,8.370370,8.074074,8.277778,1.919800,1343700
1981-11-30,0.000000,8.277778,7.944445,8.148149,1.889736,768600
1981-12-07,0.000000,8.074074,7.759259,7.962963,1.846787,303300
1981-12-14,0.000000,7.944445,7.685185,7.944445,1.842492,787500
1981-12-21,0.000000,7.944445,7.814815,7.907407,1.833903,538200
1981-12-28,0.000000,8.074074,7.888889,8.074074,1.872557,368400
1982-01-04,0.000000,8.074074,7.481482,7.685185,1.782364,992100
1982-01-11,0.000000,7.666667,7.074074,7.296296,1.692172,1190700
1982-01-18,0.000000,7.462963,7.055555,7.092593,1.644930,799500
1982-01-25,0.000000,7.500000,6.907407,7.425926,1.722237,1546500
1982-02-01,0.000000,7.611111,7.166667,7.611111,1.765185,889500
1982-02-08,0.000000,7.981482,7.388889,7.870370,1.825314,463800
1982-02-15,0.000000,7.925926,7.666667,7.888889,1.829607,921600
1982-02-22,0.000000,8.259259,7.888889,8.185185,1.898327,1644000
1982-03-01,0.000000,8.333333,8.092592,8.129630,1.885440,1499700
1982-03-08,0.000000,8.296296,7.703704,7.703704,1.786660,723600
1982-03-15,0.000000,7.740741,7.351852,7.555555,1.752301,374400
1982-03-22,0.000000,7.703704,7.481482,7.537037,1.748006,766500
