Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01,1.565972,1.565972,1.527778,1.534722,0.358356,2606400
1970-01-08,1.538194,1.559028,1.517361,1.534722,0.358356,4464000
1970-01-15,1.534722,1.548611,1.500000,1.527778,0.356735,7804800
1970-01-22,1.520833,1.532986,1.430556,1.434028,0.334844,5536800
1970-01-29,1.434028,1.520833,1.375000,1.479167,0.345384,7142400
1970-02-05,1.486111,1.513889,1.468750,1.500000,0.350248,2383200
1970-02-12,1.506944,1.545139,1.496528,1.505208,0.351465,5241600
1970-02-19,1.505208,1.559028,1.494792,1.559028,0.364032,4312800
1970-02-26,1.559028,1.560764,1.479167,1.489583,0.347816,6141600
1970-03-05,1.489583,1.500000,1.416667,1.444444,0.337277,3808800
1970-03-12,1.437500,1.437500,1.348958,1.406250,0.328358,8906400
1970-03-19,1.406250,1.465278,1.348958,1.444444,0.337277,5580000
1970-03-26,1.444444,1.458333,1.407986,1.420139,0.331601,3686400
1970-04-02,1.420139,1.421875,1.371528,1.420139,0.331601,3693600
1970-04-09,1.420139,1.444444,1.343750,1.381944,0.322682,7192800
1970-04-16,1.381944,1.388889,1.319444,1.326389,0.309710,5774400
1970-04-23,1.319444,1.329861,1.279514,1.319444,0.308089,7308000
1970-04-30,1.319444,1.324653,1.258681,1.277778,0.298360,8589600
1970-05-07,1.277778,1.293403,1.250000,1.260417,0.294306,5680800
1970-05-14,1.260417,1.269097,1.208333,1.208333,0.282145,6422400
1970-05-21,1.208333,1.208333,1.093750,1.138889,0.265929,15076800
1970-05-28,1.145833,1.227431,1.145833,1.227431,0.286604,7308000
1970-06-04,1.227431,1.243056,1.180556,1.227431,0.288284,6206400
1970-06-11,1.227431,1.270833,1.194444,1.258681,0.295623,5148000
1970-06-18,1.258681,1.284722,1.217014,1.220486,0.286653,5061600
1970-06-25,1.220486,1.225694,1.184028,1.222222,0.287061,3830400
1970-07-02,1.222222,1.243056,1.178819,1.211806,0.284614,5400000
1970-07-09,1.218750,1.243056,1.218750,1.239583,0.291138,6631200
1970-07-16,1.239583,1.312500,1.239583,1.270833,0.298478,3909600
1970-07-23,1.270833,1.282986,1.152778,1.159722,0.272381,11772000
1970-07-30,1.159722,1.166667,1.098958,1.156250,0.271566,32306400
1970-08-06,1.156250,1.159722,1.076389,1.076389,0.252809,8215200
1970-08-13,1.076389,1.107639,1.020833,1.079861,0.253624,6998400
1970-08-20,1.078125,1.118056,1.050347,1.111111,0.260964,6400800
1970-08-27,1.111111,1.118056,1.092014,1.114583,0.261780,4406400
1970-09-03,1.118056,1.166667,1.118056,1.138889,0.269180,6408000
1970-09-10,1.138889,1.166667,1.133681,1.166667,0.275745,6235200
1970-09-17,1.168403,1.222222,1.163194,1.218750,0.288056,5522400
1970-09-24,1.218750,1.243056,1.190972,1.229167,0.290518,9410400
1970-10-01,1.229167,1.263889,1.208333,1.260417,0.297904,8208000
1970-10-08,1.258681,1.258681,1.201389,1.208333,0.285593,4356000
1970-10-15,1.208333,1.236111,1.192708,1.229167,0.290518,5673600
1970-10-22,1.229167,1.234375,1.190972,1.203125,0.284363,6415200
1970-10-29,1.203125,1.250000,1.199653,1.243056,0.293800,3938400
1970-11-05,1.243056,1.260417,1.234375,1.243056,0.293800,4701600
1970-11-12,1.243056,1.248264,1.218750,1.227431,0.290107,4348800
1970-11-19,1.227431,1.229167,1.204861,1.222222,0.288876,4795200
1970-11-26,1.222222,1.232639,1.217014,1.229167,0.290518,4060800
1970-12-03,1.236111,1.319444,1.236111,1.307292,0.310915,10238400
1970-12-10,1.305556,1.312500,1.284722,1.289931,0.306786,5011200
1970-12-17,1.289931,1.317708,1.281250,1.291667,0.307199,5378400
1970-12-24,1.291667,1.352431,1.291667,1.352431,0.321650,3463200
1970-12-31,1.352431,1.375000,1.315972,1.319444,0.313806,3672000
1971-01-07,1.319444,1.333333,1.310764,1.329861,0.316283,4975200
1971-01-14,1.329861,1.361111,1.322917,1.350694,0.321238,6933600
1971-01-21,1.350694,1.373264,1.322917,1.336806,0.317934,9158400
1971-01-28,1.336806,1.350694,1.312500,1.333333,0.317109,6033600
1971-02-04,1.333333,1.390625,1.333333,1.390625,0.330734,6861600
1971-02-11,1.390625,1.397569,1.354167,1.364583,0.324541,3463200
1971-02-18,1.364583,1.371528,1.312500,1.322917,0.314631,7610400
1971-02-25,1.322917,1.342014,1.319444,1.322917,0.314631,7286400
1971-03-04,1.324653,1.342014,1.319444,1.319444,0.315607,8229600
1971-03-11,1.319444,1.387153,1.312500,1.378472,0.329726,8409600
1971-03-18,1.378472,1.397569,1.368056,1.378472,0.329726,5760000
1971-03-25,1.378472,1.409722,1.347222,1.390625,0.332633,5745600
1971-04-01,1.390625,1.434028,1.387153,1.394097,0.333463,9871200
