Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01,1.234375,1.265625,1.226563,1.234375,0.013481,822400
1970-01-08,1.234375,1.250000,1.113281,1.121094,0.012244,1670400
1970-01-15,1.113281,1.113281,0.992188,1.050781,0.011476,3292800
1970-01-22,1.050781,1.101563,1.011719,1.062500,0.011604,2531200
1970-01-29,1.062500,1.062500,1.000000,1.000000,0.010921,2537600
1970-02-05,1.000000,1.000000,0.906250,0.960938,0.010494,2726400
1970-02-12,0.960938,0.968750,0.929688,0.968750,0.010580,4659200
1970-02-19,1.000000,1.171875,1.000000,1.156250,0.012820,5171200
1970-02-26,1.152344,1.199219,1.101563,1.136719,0.012603,5548800
1970-03-05,1.148438,1.156250,1.066406,1.078125,0.011954,2515200
1970-03-12,1.078125,1.136719,1.066406,1.097656,0.012170,1772800
1970-03-19,1.097656,1.156250,1.062500,1.148438,0.012733,2096000
1970-03-26,1.148438,1.152344,1.117188,1.132813,0.012560,1756800
1970-04-02,1.132813,1.140625,1.093750,1.125000,0.012473,1296000
1970-04-09,1.125000,1.136719,1.062500,1.078125,0.011954,1139200
1970-04-16,1.074219,1.093750,1.058594,1.062500,0.011780,1020800
1970-04-23,1.054688,1.054688,0.921875,0.949219,0.010524,3347200
1970-04-30,0.949219,0.957031,0.890625,0.929688,0.010308,3190400
1970-05-07,0.929688,0.949219,0.851563,0.875000,0.009701,2358400
1970-05-14,0.875000,0.964844,0.832031,0.910156,0.010091,2182400
1970-05-21,0.910156,0.937500,0.843750,0.894531,0.010065,2678400
1970-05-28,0.894531,1.000000,0.886719,0.933594,0.010505,3513600
1970-06-04,0.933594,0.945313,0.890625,0.898438,0.010109,1552000
1970-06-11,0.890625,0.894531,0.824219,0.871094,0.009802,2976000
1970-06-18,0.871094,0.929688,0.847656,0.847656,0.009538,1820800
1970-06-25,0.847656,0.867188,0.796875,0.796875,0.008966,1372800
1970-07-02,0.796875,0.820313,0.738281,0.777344,0.008747,1366400
1970-07-09,0.789063,0.898438,0.789063,0.894531,0.010065,1900800
1970-07-16,0.898438,0.996094,0.898438,0.968750,0.010900,2457600
1970-07-23,0.968750,0.996094,0.953125,0.960938,0.010812,1174400
1970-07-30,0.960938,0.972656,0.902344,0.906250,0.010197,1171200
1970-08-06,0.902344,0.902344,0.828125,0.882813,0.009933,1587200
1970-08-13,0.882813,0.976563,0.863281,0.964844,0.010856,3075200
1970-08-20,0.960938,1.074219,0.929688,1.046875,0.011963,3148800
1970-08-27,1.046875,1.093750,1.015625,1.039063,0.011873,2358400
1970-09-03,1.039063,1.117188,1.011719,1.089844,0.012454,2992000
1970-09-10,1.074219,1.078125,1.046875,1.078125,0.012320,3596800
1970-09-17,1.078125,1.117188,1.042969,1.089844,0.012454,1481600
1970-09-24,1.089844,1.175781,1.085938,1.140625,0.013034,3363200
1970-10-01,1.125000,1.140625,1.046875,1.089844,0.012454,5315200
1970-10-08,1.089844,1.113281,1.050781,1.062500,0.012141,1625600
1970-10-15,1.066406,1.132813,1.054688,1.093750,0.012498,2608000
1970-10-22,1.093750,1.105469,1.015625,1.031250,0.011784,1427200
1970-10-29,1.031250,1.062500,1.015625,1.039063,0.011873,995200
1970-11-05,1.035156,1.035156,0.937500,0.945313,0.010802,4553600
1970-11-12,0.945313,0.953125,0.906250,0.906250,0.010356,1545600
1970-11-19,0.902344,0.937500,0.878906,0.933594,0.010829,1078400
1970-11-26,0.933594,1.070313,0.925781,1.000000,0.011600,2953600
1970-12-03,1.015625,1.046875,0.992188,1.039063,0.012053,2748800
1970-12-10,1.039063,1.101563,1.031250,1.062500,0.012324,3212800
1970-12-17,1.062500,1.089844,1.007813,1.007813,0.011690,1673600
1970-12-24,1.007813,1.085938,0.992188,1.078125,0.012506,2457600
1970-12-31,1.078125,1.105469,1.042969,1.105469,0.012823,1724800
1971-01-07,1.105469,1.187500,1.082031,1.171875,0.013593,3721600
1971-01-14,1.171875,1.234375,1.171875,1.183594,0.013729,3529600
1971-01-21,1.183594,1.210938,1.164063,1.171875,0.013593,2150400
1971-01-28,1.171875,1.175781,1.113281,1.128906,0.013095,3868800
1971-02-04,1.128906,1.210938,1.121094,1.175781,0.013638,8428800
1971-02-11,1.175781,1.179688,1.136719,1.164063,0.013503,2649600
1971-02-18,1.156250,1.179688,1.113281,1.167969,0.013712,4784000
1971-02-25,1.167969,1.175781,1.062500,1.066406,0.012520,2172800
1971-03-04,1.066406,1.187500,1.042969,1.187500,0.013941,5600000
1971-03-11,1.191406,1.226563,1.164063,1.226563,0.014400,5920000
1971-03-18,1.226563,1.289063,1.195313,1.253906,0.014721,15868800
1971-03-25,1.253906,1.289063,1.230469,1.238281,0.014537,6902400
1971-04-01,1.242188,1.261719,1.187500,1.207031,0.014170,8422400
1971-04-08,1.207031,1.257813,1.187500,1.214844,0.014262,2614400
1971-04-15,1.218750,1.300781,1.207031,1.289063,0.015133,9289600
1971-04-22,1.289063,1.390625,1.265625,1.375000,0.016142,3532800
1971-04-29,1.375000,1.390625,1.265625,1.316406,0.015454,4300800
1971-05-06,1.316406,1.359375,1.300781,1.351563,0.015867,2566400
1971-05-13,1.351563,1.410156,1.304688,1.328125,0.015756,5632000
1971-05-20,1.335938,1.367188,1.226563,1.281250,0.015200,1811200
1971-05-27,1.281250,1.304688,1.199219,1.203125,0.014273,3145600
1971-06-03,1.203125,1.210938,1.152344,1.156250,0.013717,2886400
1971-06-10,1.156250,1.195313,1.144531,1.171875,0.013902,1724800
1971-06-17,1.171875,1.187500,1.117188,1.156250,0.013717,2499200
1971-06-24,1.156250,1.171875,1.140625,1.144531,0.013578,1363200
1971-07-01,1.144531,1.175781,1.128906,1.160156,0.013763,1606400
1971-07-08,1.160156,1.164063,1.097656,1.113281,0.013207,1049600
1971-07-15,1.113281,1.140625,1.097656,1.105469,0.013115,931200
1971-07-22,1.105469,1.105469,1.015625,1.023438,0.012141,1369600
1971-07-29,1.023438,1.027344,0.937500,0.957031,0.011354,2326400
1971-08-05,0.957031,0.976563,0.929688,0.976563,0.011585,1011200
1971-08-12,0.984375,1.078125,0.984375,1.070313,0.012697,1484800
1971-08-19,1.070313,1.074219,1.039063,1.062500,0.012777,896000
1971-08-26,1.054688,1.054688,0.953125,0.953125,0.011462,1456000
1971-09-02,0.953125,1.023438,0.937500,1.023438,0.012307,1126400
1971-09-09,1.039063,1.054688,0.992188,0.992188,0.011931,1740800
1971-09-16,0.992188,1.003906,0.972656,0.988281,0.011885,899200
1971-09-23,0.988281,0.992188,0.921875,0.929688,0.011180,2896000
1971-09-30,0.929688,1.027344,0.921875,0.960938,0.011556,1948800
1971-10-07,0.968750,1.003906,0.945313,0.949219,0.011415,1587200
1971-10-14,0.949219,0.953125,0.910156,0.929688,0.011180,1817600
1971-10-21,0.929688,0.964844,0.914063,0.921875,0.011086,6780800
1971-10-28,0.921875,0.949219,0.910156,0.921875,0.011086,1619200
1971-11-04,0.921875,0.937500,0.781250,0.808594,0.009724,6153600
1971-11-11,0.808594,0.851563,0.773438,0.812500,0.009771,9040000
1971-11-18,0.812500,0.824219,0.765625,0.769531,0.009412,3440000
1971-11-25,0.769531,0.875000,0.769531,0.875000,0.010701,1731200
1971-12-02,0.875000,0.875000,0.832031,0.835938,0.010224,1868800
1971-12-09,0.835938,0.855469,0.808594,0.851563,0.010415,5270400
1971-12-16,0.851563,0.894531,0.832031,0.886719,0.010845,9299200
1971-12-23,0.886719,0.945313,0.867188,0.925781,0.011322,3724800
1971-12-30,0.921875,1.023438,0.875000,1.011719,0.012374,22768000
1972-01-06,1.023438,1.121094,1.023438,1.117188,0.013663,13283200
1972-01-13,1.109375,1.164063,1.101563,1.156250,0.014141,5033600
1972-01-20,1.156250,1.156250,1.093750,1.097656,0.013425,5145600
1972-01-27,1.097656,1.148438,1.085938,1.109375,0.013568,1846400
1972-02-03,1.109375,1.109375,1.058594,1.093750,0.013377,1289600
1972-02-10,1.105469,1.132813,1.058594,1.082031,0.013233,2358400
1972-02-17,1.089844,1.125000,1.046875,1.066406,0.013042,1593600
1972-02-24,1.066406,1.074219,1.027344,1.066406,0.013213,1868800
1972-03-02,1.066406,1.078125,1.042969,1.054688,0.013068,2537600
1972-03-09,1.054688,1.078125,1.027344,1.031250,0.012777,1427200
1972-03-16,1.031250,1.039063,0.945313,0.960938,0.011906,1472000
1972-03-23,0.960938,1.035156,0.960938,1.031250,0.012777,1366400
1972-03-30,1.031250,1.039063,1.003906,1.035156,0.012826,1491200
1972-04-06,1.035156,1.253906,1.031250,1.218750,0.015100,7014400
1972-04-13,1.218750,1.289063,1.187500,1.246094,0.015439,4646400
1972-04-20,1.246094,1.261719,1.167969,1.191406,0.014762,5980800
1972-04-27,1.191406,1.210938,1.132813,1.132813,0.014036,3001600
1972-05-04,1.132813,1.222656,1.132813,1.214844,0.015052,2841600
1972-05-11,1.214844,1.265625,1.203125,1.265625,0.015681,3881600
1972-05-18,1.265625,1.343750,1.265625,1.292969,0.016203,4560000
1972-05-25,1.292969,1.296875,1.226563,1.246094,0.015616,1670400
